Time,B,D,M1,M2,N,ND
0,10,0,0,0,0,0
10,12,0.25,1.25,0.75,4.25,0.75
20,5.5,0.75,0.5,2,6.75,2.25
30,2.5,0.75,0.25,2.25,5.75,2
40,2.5,0,0,2.5,4.5,1.75
50,2.25,0,0,2.5,4.75,1.25
60,0.25,0.25,0,2.5,3.75,1.5
70,0,0,0,2.5,3.5,0.25
80,0,0.25,0,2.5,3.5,0
90,0,0.25,0,2.5,3.25,0
100,0,0,0,2.5,3.25,0
110,0,0,0,2.5,3,0
120,0,0,0,2.25,2.75,0
130,0,0,0,2.25,2.75,0
140,0,0,0,2.5,2.5,0
150,0,0,0,2.5,2.25,0
160,0,0,0,2.25,2,0
170,0,0,0,2.25,2,0
180,0,0,0,2.25,2,0
190,0,0,0,2.25,1.75,0.25
200,0,0,0,2.25,1.5,0.25
210,0,0,0,2.25,1.5,0.25
220,0,0,0,2.25,1.25,0.25
230,0,0,0,2.25,1,0
240,0,0,0,2.25,0.75,0.25
250,0,0,0,2.25,0.75,0
260,0,0,0,2.25,0.5,0
270,0,0,0,2.25,0.25,0
280,0,0,0,2.25,0,0.25
290,0,0,0,2.25,0,0.25
300,0,0,0,2.25,0,0.25
310,0,0,0,2.25,0,0.25
320,0,0,0,2.5,0,0.25
330,0,0.25,0,2.5,0,0.25
340,0,0.25,0,2.25,0,0
350,0,0,0,2.25,0,0
360,0,0,0,2.25,0,0
370,0,0,0,2.25,0,0
380,0,0,0,2.25,0,0
390,0,0,0,2.25,0,0
400,0,0,0,2.25,0,0
410,0,0,0,2.25,0,0
420,0,0,0,2.25,0,0
430,0,0,0,2.25,0,0
440,0,0,0,2.25,0,0
450,0,0,0,2,0,0
460,0,0,0,2,0,0
470,0,0,0,2,0,0
480,0,0,0,2,0,0
490,0,0,0,2,0,0
500,0,0,0,2,0,0
510,0,0,0,2,0,0
520,0,0,0,2,0,0
530,0,0,0,2,0,0
540,0,0,0,2,0,0
550,0,0,0,2,0,0
560,0,0,0,2,0,0
570,0,0,0,2,0,0
580,0,0,0,2,0,0
590,0,0,0,2,0,0
600,0,0,0,2,0,0
610,0,0,0,2,0,0
620,0,0,0,2,0,0
630,0,0,0,2,0,0
640,0,0,0,2,0,0
650,0,0,0,2,0,0
660,0,0,0,2,0,0
670,0,0,0,1.75,0,0
680,0,0,0,1.75,0,0
690,0,0,0,1.75,0,0
700,0,0,0,1.75,0,0
710,0,0,0,1.75,0,0
720,0,0,0,1.75,0,0
730,0,0,0,1.75,0,0
740,0,0,0,1.75,0,0
750,0,0,0,1.75,0,0
760,0,0,0,1.75,0,0
770,0,0,0,1.75,0,0
780,0,0,0,1.75,0,0
790,0,0,0,1.75,0,0
800,0,0,0,1.75,0,0
810,0,0,0,1.75,0,0
820,0,0,0,1.75,0,0
830,0,0,0,1.75,0,0
840,0,0,0,1.75,0,0
850,0,0,0,1.75,0,0
860,0,0,0,1.75,0,0
870,0,0,0,1.75,0,0
880,0,0,0,1.75,0,0
890,0,0,0,1.75,0,0
900,0,0,0,1.75,0,0
910,0,0,0,1.75,0,0
920,0,0,0,1.75,0,0
930,0,0,0,1.75,0,0
940,0,0,0,1.75,0,0
950,0,0,0,1.75,0,0
960,0,0,0,1.25,0,0
970,0,0,0,1.25,0,0
980,0,0,0,1.25,0,0
990,0,0,0,1.25,0,0
1000,0,0,0,1.25,0,0
