Time,B,D,M,N,ND
0,10,0,2,0,0
20,10.6,0.4,2.2,1.4,0.4
40,8.2,2.4,2.2,4.8,2
60,2.2,6.2,2.2,10.6,2.8
80,1.2,8.6,2.2,6.8,2.4
100,0.4,10.4,2.2,4.8,0.6
120,0.2,11,2.2,5.6,1.2
140,0.8,12.2,2,3.8,0.4
160,0.2,12.4,2,3,0.2
180,0.2,12.2,2,2.8,0.6
200,0.2,12,2,1.8,0.6
220,0.2,12.4,2,1.6,0.4
240,1,13,2,2,0
260,1.4,13.4,2,1.6,0.4
280,1.2,13.8,2,1.2,0.8
300,1,14.4,1.8,0.8,0.6
320,1.4,16,1.8,1.2,0.2
340,1.2,16.6,1.8,1.2,0.2
360,1.6,17,2,0.2,0.4
380,2.2,17.4,2,0,0.2
400,2.6,17,2,0.2,0.2
420,3,17.6,2,0,0
440,3.2,17.8,2,0.4,0
460,3.4,17.4,2.2,0.8,0.2
480,2.2,18,2.2,1.2,0.6
500,2,18,2.2,1,0
520,2.2,18.2,2.2,1,0
540,1.8,18.6,2.2,0.6,0
560,1.8,18.4,2.2,0.4,0.2
580,1,17.8,2.2,1.6,0
600,0.8,18.2,2.4,2.6,0.6
620,0.4,18,2.6,3.2,0.2
640,0.2,17.4,2.6,1.8,0
660,0.4,17.6,2.6,1.6,0.2
680,0.2,17.2,2.8,1.6,0
700,0,16.8,2.8,1.4,0
720,0,16.6,2.8,1,0
740,0,16.4,2.8,0.8,0
760,0,16.4,2.8,0.4,0
780,0,15.8,2.8,0.2,0
800,0,16,2.8,0,0
820,0,15.4,2.8,0,0
840,0,15.2,2.8,0,0
860,0,14.8,2.8,0,0
880,0,14.2,2.8,0,0
900,0,13.4,2.8,0,0
920,0,13,2.8,0,0
940,0,13,2.8,0,0
960,0,12.6,2.8,0,0
980,0,12.6,2.8,0,0
1000,0,12.2,2.8,0,0
1020,0,11.4,2.8,0,0
1040,0,11,2.8,0,0
1060,0,10.8,2.8,0,0
1080,0,10.6,2.8,0,0
1100,0,10.4,2.8,0,0
1120,0,10.4,2.8,0,0
1140,0,9.8,2.8,0,0
1160,0,9.6,2.8,0,0
1180,0,9.4,2.6,0,0
1200,0,9.2,2.6,0,0
1220,0,9,2.6,0,0
1240,0,8.8,2.6,0,0
1260,0,8.4,2.6,0,0
1280,0,8.2,2.6,0,0
1300,0,7.8,2.4,0,0
1320,0,7.6,2.4,0,0
1340,0,7.4,2.4,0,0
1360,0,6.8,2.4,0,0
1380,0,6.8,2.4,0,0
1400,0,6.4,2.4,0,0
1420,0,5.4,2.4,0,0
1440,0,5.2,2.4,0,0
1460,0,5,2.4,0,0
1480,0,4.6,2.4,0,0
1500,0,4.6,2.4,0,0
1520,0,4.6,2.4,0,0
1540,0,4.4,2.4,0,0
1560,0,3.8,2.2,0,0
1580,0,3.8,2.2,0,0
1600,0,3.8,2.2,0,0
1620,0,3.8,2,0,0
1640,0,3.8,2,0,0
1660,0,3.8,2,0,0
1680,0,3.8,2,0,0
1700,0,3.6,2,0,0
1720,0,3.6,2,0,0
1740,0,3.6,2,0,0
1760,0,3.6,2,0,0
1780,0,3.6,2,0,0
1800,0,3.6,2,0,0
1820,0,3.6,2,0,0
1840,0,3.6,2,0,0
1860,0,3.6,2,0,0
1880,0,3.6,2,0,0
1900,0,3.6,2,0,0
1920,0,3.6,2,0,0
1940,0,3.6,2,0,0
1960,0,3.6,2,0,0
1980,0,3.6,2,0,0
2000,0,3.6,2,0,0
