Time,B,M,N,ND
0,10,2,0,0
20,10,1.8,2.6,0.6
40,6.4,2.2,4.4,1.8
60,1.2,2.4,10.4,2.6
80,0,2.4,8,1.4
100,0,2,5.2,0.8
120,0,2,3.2,1.2
140,0,2,2.8,0.8
160,0,2,0.8,1.8
180,0,2,0.6,1
200,0,2,0.4,1.2
220,0,2,0.4,1
240,0,2,0.4,1
260,0,2,0.2,1.2
280,0,2,0.2,1
300,0,2,0,1
320,0,2,0,1
340,0,1.8,0,1
360,0,1.8,0,1
380,0,1.8,0,1
400,0,1.8,0,1
420,0,1.8,0,1
440,0,1.8,0,1
460,0,1.8,0,1
480,0,1.8,0,1
500,0,1.6,0,1
520,0,1.6,0,1
540,0,1.6,0,1
560,0,1.6,0,1
580,0,1.6,0,1
600,0,1.6,0,1
620,0,1.6,0,1
640,0,1.6,0,1
660,0,1.6,0,1
680,0,1.6,0,1
700,0,1.6,0,1
720,0,1.4,0,1
740,0,1.4,0,1
760,0,1.4,0,1
780,0,1.4,0,1
800,0,1.4,0,1
820,0,1.4,0,1
840,0,1.4,0,1
860,0,1.4,0,1
880,0,1.4,0,1
900,0,1.4,0,1
920,0,1.2,0,1
940,0,1.2,0,1
960,0,1.2,0,1
980,0,1.2,0,1
1000,0,1.2,0,1
1020,0,1.2,0,1
1040,0,1.2,0,1
1060,0,1.2,0,1
1080,0,1.2,0,1
1100,0,1.2,0,1
1120,0,1.2,0,1
1140,0,1,0,1
1160,0,1,0,1
1180,0,1,0,1
1200,0,1,0,1
1220,0,1,0,1
1240,0,1,0,1
1260,0,1,0,1
1280,0,1,0,1
1300,0,1,0,1
1320,0,1,0,1
1340,0,1,0,1
1360,0,1,0,1
1380,0,1,0,1
1400,0,1,0,1
14
