Time,B,M,N,ND
0,10,2,0,0
20,8.2,2.2,1.6,1.2
40,4.6,2.4,5,2.4
60,1.8,2.8,6,4.6
80,1.2,3.4,6.4,7.2
100,1,3.4,5.8,6
120,1,3.4,6.2,5
140,1,3.4,5.6,3.8
160,1.6,3.4,3.6,3.8
180,1.6,3.4,2.6,3.2
200,1.4,3.4,1.6,3.2
220,1.6,3.4,1.8,2.2
240,1.6,3.6,1.4,1.4
260,1.4,3.4,1.6,2
280,1.2,3.4,1.2,2
300,1,3.4,1,1.6
320,1.4,3.6,0.6,1.4
340,1.6,3.6,0.8,1.6
360,2,3.6,0.2,1.4
380,2,3.4,0.4,1.4
400,2,3.4,2,1.2
420,2.4,3.4,0.8,1.4
440,2.4,3.4,0.6,1
460,2.6,3.6,0,0.8
480,2.2,3.6,1.6,1.6
500,1.8,3.6,1.4,1.6
520,1.8,3.6,1,1.8
540,1.6,3.6,1.6,1.6
560,2,3.8,0.4,1.4
580,2,3.8,0,1.2
600,2.8,3.4,0.8,0.8
620,2.2,3.4,1.4,1.8
640,2.8,3.4,0,0.4
660,2.8,3.4,0,0.6
680,2.4,3.4,0,0.6
700,3,3.4,0,0.4
720,3,3.6,0.6,0.8
740,2.8,3.6,0.6,0.6
760,2.4,3.6,1.4,0.2
780,2.6,3.6,0.6,0.8
800,2.4,3.6,0.8,0
820,2.6,4,1,0.2
840,2.2,4,0.4,0.4
860,2.2,4,0.4,0.8
880,2,4.4,1,0.8
900,2,4.4,1.4,0.6
920,2.2,4.6,0,0
940,2.2,4.4,1,0.4
960,2.2,4.4,1.2,1
980,1.8,4.6,1.4,0.4
1000,1.8,4.6,1.4,0.4
1020,1,4.6,2.8,0.2
1040,0.2,4.6,3.6,1.2
1060,0,4.6,2.8,0
1080,0,4.4,2,0.2
1100,0
