Time,B,M,N,ND
0,10,2,0,0
20,11,2,0.4,0
40,12.8,2,0.4,0.4
60,12.8,2,1.6,0.4
80,10.8,2,4.2,1.6
100,6,2,5,1.2
120,2.6,1.8,7.6,2.2
140,1.8,1.8,8.6,3.2
160,1.2,1.8,5.6,2.2
180,1.6,1.8,6,2.4
200,1,1.8,4.8,2
220,0.8,1.8,4.6,1.2
240,0.8,1.8,3,0.4
260,0.2,1.8,1.8,1.6
280,0.2,1.8,1.2,0.4
300,0.4,1.8,1.2,0.4
320,0.2,1.8,0.8,0.6
340,0.2,1.8,0.4,0.4
360,0.4,1.4,0.2,0.2
380,0.6,1.4,0.2,0.2
400,1,1.4,0.2,0
420,1,1.4,0.2,0.6
440,1.4,1.4,0.2,0
460,1.2,1.4,0.2,0
480,0.8,1.4,0.6,0.4
500,0.8,1.4,0.6,0.2
520,1.4,1.2,0.6,0.6
540,2.4,1.2,0.2,1.6
560,3.2,1.2,0,1.8
580,3.6,1.2,0,1.8
600,4,1.2,0,1.8
620,4.4,1.2,0,1.8
640,5.4,1.2,0,1.8
660,5.6,1.2,0,1.8
680,6.2,1.2,0,2.2
700,6.8,1.2,0.4,2.2
720,7.4,1.2,0,2.6
740,7.6,1.2,0,2.6
760,8.2,1.2,0,2.6
780,8.4,1.2,0,2.6
800,8.4,1.2,0,3.4
820,9.6,1.2,0,3.8
840,10,1.2,0,3.8
860,10.4,1.2,0,3.8
880,10.6,1.2,0,4.2
900,10.6,1.2,0,4.6
920,10.8,1.2,0,4.6
940,11,1.2,0,4.6
960,11.8,1.2,0,4.6
980,12.4,1.2,0,4.6
1000,12.6,1.2,0,4.6
1020,13.4,1.2,0,4.6
1040,14.2,1.2,0,4.6
1060,14.6,1.2,0,5
1080,15,1.4,0,5.2
