Time,M,N,ND
0,2,0,0
20,1.6,2.6,1.8
40,1.8,4,3.2
60,1.8,3.6,4.4
80,2,4.4,4.2
100,2.4,6.8,4.2
120,2.4,6.4,4.8
140,2.6,5.8,4.8
160,3.2,4,2
180,3.6,4.6,2.2
200,3.8,4.4,2
220,4.4,3.4,1.8
240,4.8,4,1
260,4.8,3.6,1.6
280,4.6,3.6,1.8
300,4.6,4.6,2.4
320,4.4,5.2,1
340,4.8,6.2,1.8
360,4.8,5,1.2
380,4.8,3.6,2
400,5,4.2,0.6
420,5,4,1.4
440,4.6,6.6,1.8
460,4.4,4.6,2.4
480,4.6,7.4,1.8
500,5,5,1.6
520,5,4.6,1
540,5,4,1
560,5.8,4.8,1.6
580,6,6.2,1
600,6.2,5,1
620,6.4,4.2,0.6
640,7,6.6,1.4
660,7.4,6,1.2
680,7.8,6.8,1.2
700,7.8,5.2,1.8
720,8.4,4.4,0.6
740,8,7.8,0.6
760,8,3.8,1.4
780,8.6,2.8,0.6
800,8.6,5,0.8
820,8.6,5.8,0.4
840,8.6,4.8,0.8
860,8.4,5.8,1
880,8.2,5,0.8
900,8,2.6,0.2
920,8.2,4,0.2
940,8.4,4.2,0.8
960,8.2,6.2,1.6
980,7.8,4,0.6
1000,7.6,3.8,1.4
1020,7.4,4.2,1.4
1040,7.6,4,0.4
1060,7.6,5.6,1.6
1080,8,4.2,1.6
1100,8,4.4,0.8
1120,8.2,5.4,0.8
1140,8.4,3.6,0.2
1160,8,4,0.4
1180,8.2,3.2,0.8
1200,8.4,4.8,0.2
1220,8.8,5.4,1.4
1240,9.2,4,0.8
1260,9,3.6,0.4
1280,8.8,3.2,1.2
1300,9.2,5.4,1.4
1320,9.4,5.4,0.6
1340,9.6,3.6,1
13
