Time,M,N,ND
0,2,0,0
20,2.4,1.6,1
40,2.6,6,1.2
60,2.8,5.6,2.6
80,3.4,5,3.8
100,3.6,5.4,3
120,3.8,5,3
140,4,4.8,2.8
160,4.4,4,3
180,4.4,4,3
200,4.6,4.2,1.6
220,4.8,3.6,2.2
240,5.2,4.4,2
260,5.4,7.2,2.4
280,5.8,6.6,2
300,6.4,3.6,1.4
320,7,4.2,0.6
340,7.4,5,1.2
360,8,5.2,2
380,8,4.6,1
400,8.4,4.4,1
420,9,3.8,0
440,9,3.8,1.6
460,9,4,0.4
480,8.6,7.6,0.8
500,8.8,4.6,0.6
520,9,4.4,0.8
540,9.2,8.2,0.4
560,9,8.4,1.4
580,8.8,5.4,1.4
600,9.4,4.4,0.6
620,9.4,5.6,0.8
640,9.8,5,0.2
660,10.2,7.4,0.6
680,10,8.2,1.2
700,10.2,5.8,0.8
720,10.4,6.2,1.4
740,10.2,5,1.4
760,10.2,6.8,0.2
780,10.6,8,1
800,11,8,1
820,11.2,4.8,0.2
840,10.8,4.4,0.8
860,11.4,3.6,0.8
880,11.6,4.8,0.6
900,11.4,4,0
920,11.8,4.8,0.4
940,11.4,5.6,0.2
960,11.6,5.2,1.4
980,11.6,4.2,1.4
1000,11.4,4.6,0.4
1020,11.4,3.6,0.4
1040,11.2,3.6,0.4
1060,10.8,5.2,0.2
1080,10.4,3.6,0.6
1100,10.6,2.8,0.8
1120,10.4,6,0.4
1140,10.4,6.6,0.2
1160,10.4,6.4,0.6
1180,10.8,4.4,0.2
1200,10.8,6.2,0.8
1220,10.8,4.4,1
1240,10.4,2.4,1.2
1260,9.6,3.8,0.2
1280,9.4,5.4,0.6
1300,9.4,7.8,0.8
1320,9.6,6.6,0.8
1340,9.6,5,0.4
1360,9.4,5,0.4
1380,9.6,4.6,0
1400,9.6,3.8,1.6
1420,9.8,4.2,0.8
1440,10.2,6.8,0.2
1460,10.4,6.8,0.6
1480,9.8,7.4,1
1500,10,4.4,0.8
1520,9.6,3,0.2
1540,9.2,5,0.8
1560,9.4,4.2,0.6
1580,9.4,4.6,0.8
1600,9.2,5.8,0.8
1620,9.2,5.6,0.8
1640,9.2,5.2,1
1660,9.2,5.2,1
1680,9.4,4.4,1.2
1700,9.4,4.4,1
1720,9.2,7,0.2
1740,10,4.4,0.2
1760,10,3.8,0.4
1780,10,4.2,0.8
1800,10.4,5,0.8
1820,10.8,6,0.4
1840,10.8,6,0.6
1860,10.4,4.8,0.6
1880,11.2,5.6,0.4
1900,10.8,4.8,0.4
1920,10.8,3.2,0.6
1940,11.2,6.2,0.8
1960,11.2,7.8,0.8
1980,11.8,5.8,0.8
2000,12.2,6,0.6
