Time,AC,B,D,M,N,ND
0,0,10,0,2,0,0
20,1,12,0.8,2.2,3.4,1.6
40,2,10.6,3.8,2.2,8.4,3.4
60,5.8,7.4,4.6,3,11.6,3.2
80,5.8,4.4,5.2,3,15.8,4.2
100,5.2,2,5,2.8,11,4.8
120,4,1,5,3,10.4,3.4
140,3.2,1.2,6,2.8,7.2,4
160,1.6,1.6,6.2,2.8,7.4,5
180,1.4,1.8,7,2.8,6,7.2
200,1.2,1.6,8,2.8,3.4,8.8
220,0.8,1.6,9.8,3,3.6,9.2
240,3.6,2.2,11.4,3,2,6.4
260,2,2,12.8,2.8,1.4,3.6
280,1.6,2,13,2.8,1.6,2
300,1.6,2.6,13.6,2.6,0.2,1.8
320,0.8,2.6,13.8,2.8,0.8,1.2
340,1.2,2.6,13.8,3.2,2.2,0.2
360,1.2,2.8,14.4,3.2,1,0.4
380,0.8,3,14.2,3.2,1,1.2
400,0.8,3.8,13.8,3.4,0.4,0.6
420,0.2,3.6,13.2,3.2,0.6,0
440,0.6,4,12.8,3.4,0.4,0.6
460,0.4,4.2,12.8,3.6,0.8,0.2
480,0.8,4.4,12.4,3.8,1,0.4
500,0.8,4.4,11.6,3.8,0.4,0.4
520,0.2,4,11,3.8,0.4,0.2
540,0.8,3.6,10.6,3.8,0.2,0.4
560,2.2,2.4,9.4,3.8,2.6,0.6
580,3,2.2,8.6,4,3,0.2
600,1.2,1.6,7.2,3.8,1.2,0
620,0.6,1,5.4,3.6,4,0.2
640,0.8,0.4,5.4,3.4,4,0.4
660,0.8,0,3.8,3.4,2.6,0.2
680,1,0,3,3.4,2,0
700,0.2,0,2.2,3.4,1.6,0.2
720,0.4,0,1.8,3.4,1,0
740,0.4,0,1,3.4,0.8,0
760,0,0,1,3.2,0.6,0
780,0.2,0,0.4,3.2,0.2,0
800,0,0,0.2,3.2,0,0
820,0,0,0.2,3.2,0,0
840,0,0,0.2,3.2,0,0
860,0,0,0.2,3.2,0,0
880,0,0,0,3.2,0,0
900,0,0,0,3.2,0,0
920,0,0,0,3.2,0,0
940,0,0,0,3,0,0
960,0,0,0,3,0,0
980,0,0,0,2.8,0,0
1000,0,0,0,2.8,0,0
1020,0,0,0,2.6,0,0
1040,0,0,0,2.6,0,0
1060,0,0,0,2.6,0,0
1080,0,0,0,2.6,0,0
1100,0,0,0,2.6,0,0
1120,0,0,0,2.6,0,0
1140,0,0,0,2.6,0,0
1160,0,0,0,2.4,0,0
1180,0,0,0,2.4,0,0
1200,0,0,0,2.4,0,0
1220,0,0,0,2.4,0,0
1240,0,0,0,2.2,0,0
1260,0,0,0,2,0,0
1280,0,0,0,2,0,0
1300,0,0,0,1.8,0,0
1320,0,0,0,1.8,0,0
1340,0,0,0,1.8,0,0
1360,0,0,0,1.8,0,0
1380,0,0,0,1.8,0,0
1400,0,0,0,1.8,0,0
1420,0,0,0,1.8,0,0
1440,0,0,0,1.8,0,0
1460,0,0,0,1.6,0,0
1480,0,0,0,1.6,0,0
1500,0,0,0,1.4,0,0
1520,0,0,0,1.2,0,0
1540,0,0,0,1.2,0,0
1560,0,0,0,1.2,0,0
1580,0,0,0,1.2,0,0
1600,0,0,0,1.2,0,0
1620,0,0,0,1.2,0,0
1640,0,0,0,1.2,0,0
1660,0,0,0,1.2,0,0
1680,0,0,0,1.2,0,0
1700,0,0,0,1.2,0,0
1720,0,0,0,1.2,0,0
1740,0,0,0,1.2,0,0
1760,0,0,0,1,0,0
1780,0,0,0,1,0,0
1800,0,0,0,1,0,0
1820,0,0,0,1,0,0
1840,0,0,0,1,0,0
1860,0,0,0,1,0,0
1880,0,0,0,1,0,0
190
