Time,AC,B,D,M,N,ND
0,0,10,0,2,0,0
20,1,9.8,1.2,2,2,1
40,2,6.4,1.6,2,8.8,1.6
60,2.4,2.6,1.4,2.4,9.8,2
80,3.4,0.6,1.4,3,8.8,2.6
100,1.4,0,1.4,3,6,1
120,1.2,0,1.6,2.8,3.6,1.2
140,1,0,1.6,2.8,2.6,0
160,0.4,0,1,2.8,1.6,0.2
180,0.2,0,1.2,2.8,0.8,0.6
200,0.4,0,0.8,2.8,0.6,0
220,0,0,0.8,2.8,0.4,0.2
240,0,0,0.6,2.8,0.2,0.2
260,0.2,0,0.4,2.6,0.2,0
280,0,0,0.4,2.6,0.2,0
300,0,0,0.4,2.6,0,0
320,0,0,0.4,2.6,0,0
340,0,0,0.4,2.4,0,0
360,0,0,0.4,2.4,0,0
380,0,0,0.2,2.2,0,0
400,0,0,0.2,2,0,0
420,0,0,0.2,1.8,0,0
440,0,0,0,1.8,0,0
460,0,0,0,1.8,0,0
480,0,0,0,1.8,0,0
500,0,0,0,1.8,0,0
520,0,0,0,1.6,0,0
540,0,0,0,1.4,0,0
560,0,0,0,1.4,0,0
580,0,0,0,1.4,0,0
600,0,0,0,1.4,0,0
620,0,0,0,1.4,0,0
640,0,0,0,1.4,0,0
660,0,0,0,1.4,0,0
680,0,0,0,1.4,0,0
700,0,0,0,1.4,0,0
720,0,0,0,1.2,0,0
740,0,0,0,1.2,0,0
760,0,0,0,1.2,0,0
780,0,0,0,1,0,0
800,0,0,0,1,0,0
820,0,0,0,1,0,0
840,0,0,0,0.8,0,0
860,0,0,0,0.8,0,0
880,0,0,0,0.8,0,0
900,0,0,0,0.8,0,0
920,0,0,0,0.8,0,0
940,0,0,0,0.8,0,0
960,0,0,0,0.8,0,0
980,0,0,0,0.8,0,0
1000,0,0,0,0.4,0,0
1020,0,
