Time,AC,B,D,M,N,ND
0,0,10,0,2,0,0
20,0.2,9.6,1.8,2,2,1.8
40,1.8,9.8,4.2,2,5.4,2.4
60,5,8.4,7.2,2,9.6,5
80,9.2,7.8,10.6,2,9.2,4.8
100,10,8.4,14.2,2.2,5.6,4
120,8,8,17,2.4,8.6,3.4
140,6.4,8.2,19,2.6,7.6,2.2
160,7.2,9.2,20.6,3,6.8,2.8
180,5.6,8.4,22,3,5.6,2.6
200,7.6,8.6,22.6,3.2,3.6,2.2
220,6.4,9,23.2,3.4,4.4,1.2
240,7,8,23.8,3.4,9.6,1.2
260,8.8,8.4,26.2,3.8,8.8,2
280,10,8,27.8,4.2,7.4,2.6
300,9.2,7.6,28.6,4.2,6,0.8
320,6.6,7,26,4.2,6.4,2.6
340,8.2,6.4,24.6,4.4,7.8,1
360,7,5.8,25.2,4.4,8.4,2.4
380,4.2,5.2,25.2,4.4,6.4,2.2
400,5,5,24.8,4.6,4,2.2
420,4.8,5,24,4.8,4.2,1.2
440,6,5,23.2,4.6,1.8,0.8
460,3.2,5.6,24,4.6,2,0.4
480,3,5.6,23.2,5.2,1.6,1
500,3.4,4.6,20.8,5.2,2.4,0.4
520,3,4.2,20.8,5.2,3,1.2
540,4.6,2.8,19.8,5.2,4,0.2
560,3.8,2.6,17.4,5.6,3.4,0.4
580,2.6,2.2,15.6,5.6,4.8,0.4
600,3,2.8,14.6,5.6,3,0.6
620,2.8,2.4,13.2,5.4,2.4,0
640,3.2,2.4,11.4,5.8,2.6,0.6
660,2.6,2.8,10.2,5.8,2.8,0.6
680,3,3,9.4,5.6,4.6,0.8
700,3.8,2.2,7.4,5.6,3.4,0.4
720,3.6,2,6.6,5.4,3,0.6
740,3,1.2,6,5.6,4.2,0.2
760,3.6,0.4,5,5.6,5,0
780,2.8,0.6,3.6,5.6,3.6,1
800,2.8,0.4,4.2,5.6,2.6,0
820,1.8,0.6,3,5.8,2.4,0.2
840,1,0,2.4,5.8,4,0
860,1.8,0,0.8,5.8,2.6,0
880,0.6,0,1,5.8,1.4,0.6
900,0.8,0,1,5.8,1.2,0
920,1,0,0.4,5.8,0.6,0
940,0.6,0,0.2,5.4,0.4,0
960,0,0,0,5.2,0.4,0
980,0,0,0,5.2,0.2,0
1000,0,0,0,5.2,0.2,0
1020,0,0,0,5.2,0,0.2
1040,0.2,0,0,5.2,0,0
1060,0.2,0,0,5.2,0,0
1080,0,0,0,5.2,0,0
1100,0,0,0,5.2,0,0
1120,0,0,0,5,0,0
1140,0,0,0,5,0,0
1160,0,0,0,5,0,0
1180,0,0,0,5,0,0
1200,0,0,0,5,0,0
1220,0,0,0,5,0,0
1240,0,0,0,5,0,0
1260,0,0,0,5,0,0
1280,0,0,0,5,0,0
1300,0,0,0,4.6,0,0
1320,0,0,0,4.6,0,0
1340,0,0,0,4.4,0,0
1360,0,0,0,4.4,0,0
1380,0,0,0,4.4,0,0
1400,0,0,0,4.4,0,0
1420,0,0,0,4.4,0,0
1440,0,0,0,4.4,0,0
1460,0,0,0,4.4,0,0
1480,0,0,0,4.2,0,0
1500,0,0,0,4.2,0,0
1520,0,0,0,4.2,0,0
1540,0,0,0,4.2,0,0
1560,0,0,0,4.2,0,0
1580,0,0,0,4,0,0
1600,0,0,0,3.8,0,0
1620,0,0,0,3.8,0,0
1640,0,0,0,3.8,0,0
1660,0,0,0,3.8,0,0
1680,0,0,0,3.8,0,0
1700,0,0,0,3.8,0,0
1720,0,0,0,3.8,0,0
1740,0,0,0,3.6,0,0
1760,0,0,0,3.6,0,0
1780,0,0,0,3.6,0,0
1800,0,0,0,3.4,0,0
1820,0,
