Time,AC,B,D,M,N,ND
0,0,10,0,2,0,0
20,0.8,8.6,1.8,2,2.6,1.2
40,2.4,8.4,3,2,5,3
60,5,6.4,4.4,2.8,9.2,4
80,6.2,3.4,8,2.8,16.8,3.2
100,6,3.8,11.2,3,12.4,4.6
120,11.2,3.6,14.2,3.2,8.4,3.2
140,7,4.4,16.4,3.2,5,2
160,4.8,6,15.6,3.4,4,1.4
180,3.6,6.6,14,3.4,6.8,1
200,5.6,6,14.2,3.6,6.2,1.6
220,6,5.8,15.8,3.8,5.8,3.6
240,6.2,5.2,16.8,4.2,3.8,1.4
260,5.4,5.6,15.2,4.4,3.6,1.2
280,4.2,5.2,15.4,4.4,2.2,1.4
300,3.4,5.6,15.4,4.4,1.2,1.6
320,4.2,4.6,15,4.4,2.6,1
340,3,4.6,14.8,4.2,3.6,0.8
360,3.4,3.4,14.2,4.4,7,0.8
380,3.8,3,13.4,4.8,6.8,0.8
400,3.6,1.2,13.4,4.8,8.6,0.6
420,4,1.6,12.8,4.8,6,0.8
440,2.6,1.8,11.4,4.8,5.6,0.4
460,3,2.2,11.8,4.8,5.4,1.4
480,4.6,3,11.6,5,3.6,0.8
500,2.6,3.6,10.2,5,2.6,0.8
520,2.8,3.2,9.8,5,1.2,0.4
540,2,3.8,10,4.8,1.4,1
560,2.6,3.6,10.8,4.8,2.8,0.8
580,2.8,3.8,11.2,4.8,2.8,0.2
600,1.6,3.2,9.6,5.4,3.4,0.6
620,1.6,2.8,8,5.4,3,0.2
640,2.8,2,8,5.4,3,0
660,3.8,1.2,7.6,5.4,4,0.4
680,3.6,1.6,5.8,5.4,4.6,0
700,4,1.6,5,5.2,2.2,0.2
720,2.2,1.6,5,5.2,3,0.6
740,3.2,1.8,4.8,5.2,2.2,0
760,2.4,1.2,3.8,5,2.6,0.2
780,3.6,1.2,4,5.2,1.6,0.6
800,2.6,0.6,3.8,5.2,3.4,0.2
820,1.8,0,2.6,5.2,3.8,0
840,1.8,0,2,5.2,2.8,0
860,0.6,0,1.6,5.2,2.6,0
880,1.2,0,1,5.2,1,0.2
900,0.6,0,1,5.2,0.6,0.2
920,0,0,0.2,5.2,0.6,0
940,0.2,0,0,5.2,0.4,0
960,0.6,0,0,5.2,0,0
980,0.2,0,0,5.2,0,0
1000,0,0,0,5.2,0,0
1020,0,0,0,5.2,0,0
1040,0,0,0,5.2,0,0
1060,0,0,0,5.2,0,0
1080,0,0,0,5.2,0,0
1100,0,0,0,5.2,0,0
1120,0,0,0,5.2,0,0
1140,0,0,0,5.2,0,0
1160,0,0,0,4.8,0,0
1180,0,0,0,4.8,0,0
1200,0,0,0,4.8,0,0
1220,0,0,0,4.6,0,0
1240,0,0,0,4.6,0,0
1260,0,0,0,4.6,0,0
1280,0,0,0,4.4,0,0
1300,0,0,0,4.4,0,0
1320,0,0,0,4.4,0,0
1340,0,0,0,4.4,0,0
1360,0,0,0,4.2,0,0
1380,0,0,0,4.2,0,0
1400,0,0,0,4,0,0
1420,0,0,0,3.8,0,0
1440,0,0,0,3.8,0,0
1460,0,0,0,3.8,0,0
1480,0,0,0,3.8,0,0
1500,0,0,0,3.8,0,0
1520,0,0,0,3.8,0,0
1540,0,0,0,3.6,0,0
1560,0,0,0,3.6,0,0
1580,0,0,0,3.6,0,0
1600,0,0,0,3.6,0,0
1620,0,0,0,3.4,0,0
1640,0,0,0,3.4,0,0
1660,0,0,0,3.4,0,0
1680,0,0,0,3.2,0,0
1700,0,0,0,3,0,0
1720,0,0,0,3,0,0
1740,0,0,0,2.6,0,0
1760,0,0,0,2.6,0,0
1780,0,0,0,2.4,0,0
1800,0,0,0,2.2,0,0
1820,0,0,0,2.2,0,0
1840,0,0,0,2.2,0,0
1860,0,0,0,2,0,0
1880,0,0,0,2,0,0
1900,0,0,0,2,0,0
1920,0,0,0,2,0,0
1940,0,0,0,2,0,0
1960,0,0,0,2,0,0
1980,0,0,0,2,0,0
2000,0,0,0,2,0,0
