Time,AC,B,D,M,N,ND
0,0,10,0,2,0,0
20,0.2,12,0.6,2,0.6,0
40,0.4,12,2,1.8,1.8,0.6
60,1.2,11.2,3.4,1.8,3.4,1
80,2.4,6.6,6.4,2,4.4,0.8
100,2.4,5.6,9,2.4,4.4,1.2
120,2.2,3.8,8.6,2.8,4.6,0.8
140,2,3,8.4,2.8,3.4,0.6
160,2,2.2,8.4,3,7.2,1
180,2,2.2,9.6,3,5.6,0.2
200,2.4,1,9.6,3,3.6,1.2
220,2.4,1.2,10.4,3,3,1.6
240,2.6,1,10.2,3,2.6,0.4
260,2.2,1.6,10.8,2.8,1.4,1
280,1.8,1.6,12,2.6,1.2,0.8
300,0.8,1.4,11.8,2.6,0.6,0.8
320,0.2,2.2,11.8,2.6,0.4,0.8
340,0.4,2.8,12.2,2.6,0.4,0.2
360,0.2,2.4,12.8,2.8,0.2,0.4
380,0.2,2.8,12.2,2.8,0.6,0
400,0.2,2.4,12.2,2.8,0.2,0.2
420,1.4,2,12.2,3,1.4,0.4
440,0.8,1.8,12.2,2.8,0.4,0.4
460,0.4,1.6,11.8,3,0.2,0.2
480,0.4,1.6,12,3,0.6,0.2
500,0.8,2,11,3,0,0.4
520,0.4,2.2,11.2,2.8,0,0
540,0.2,2.4,11.2,2.6,0,0.4
560,0.6,2.6,10.8,2.6,0.4,0
580,0.6,2.6,10.6,2.6,0.4,0
600,0.2,2.6,10.2,2.6,0,0.2
620,0.2,3,10.6,2.8,0.2,0.4
640,0.6,3.4,10.4,2.8,0.2,0.6
660,0.6,2.8,10.4,2.8,0.4,0.2
680,0.8,2,10,2.8,1.6,0.8
700,1,2.2,9.8,2.8,0.8,0.4
720,1.4,2.8,9.8,2.8,0.8,0
740,1.4,2.6,9,3,1,0
760,1.4,1.2,8.6,3,0.6,0
780,0.6,0.6,7.8,3,2.6,0.4
800,1.2,0.4,7.8,3,1.8,0
820,0.8,0,6.4,3,0.8,0.4
840,0.4,0,5.6,2.8,0.6,0.2
860,0.4,0,5.2,2.8,0.2,0
880,0,0,4.6,2.8,0,0
900,0,0,3.8,2.8,0,0
920,0,0,2.8,2.6,0,0
940,0,0,2.6,2.6,0,0
960,0,0,1.8,2.2,0,0
980,0,0,1,2.2,0,0
1000,0,0,1,2.2,0,0
1020,0,0,0.8,2.2,0,0
1040,0,0,0.6,2.2,0,0
1060,0,0,0.6,2.2,0,0
1080,0,0,0.4,2.2,0,0
1100,0,0,0.4,2.2,0,0
1120,0,0,0.4,2.2,0,0
1140,0,0,0.4,2.2,0,0
1160,0,0,0.4,2.2,0,0
1180,0,0,0.4,2.2,0,0
1200,0,0,0.4,2.2,0,0
1220,0,0,0.4,2.2,0,0
1240,0,0,0.4,2.2,0,0
1260,0,0,0.4,2.2,0,0
1280,0,0,0.4,2.2,0,0
1300,0,0,0.4,2,0,0
1320,0,0,0.4,2,0,0
1340,0,0,0.2,2,0,0
1360,0,0,0.2,2,0,0
1380,0,0,0.2,2,0,0
1400,0,0,0.2,2,0,0
1420,0,0,0.2,2,0,0
1440,0,0,0.2,2,0,0
1460,0,0,0.2,2,0,0
1480,0,0,0.2,2,0,0
1500,0,0,0.2,2,0,0
1520,0,0,0.2,2,0,0
1540,0,0,0.2,2,0,0
1560,0,0,0.2,2,0,0
1580,0,0,0.2,1.8,0,0
1600,0,0,0.2,1.8,0,0
1620,0,0,0.2,1.8,0,0
1640,0,0,0.2,1.8,0,0
1660,0,0,0.2,1.8,0,0
1680,0,0,0.2,1.8,0,0
1700,0,0,0.2,1.8,0,0
1720,0,0,0.2,1.8,0,0
1740,0,0,0.2,1.8,0,0
1760,0,0,0.2,1.8,
