Time,B,N
0,10,0
20,12.2,0.6
40,13.2,3.4
60,14.6,3.4
80,15.2,4.4
100,14.2,6.2
120,13.2,6
140,13.4,5.8
160,14.6,5.4
180,15,4.8
200,15.8,5.4
220,16.2,4.2
240,16.4,4.8
260,15.8,5.4
280,14.8,7.2
300,13.8,8
320,13.4,8.2
340,13.4,8
360,12.4,8.8
380,12.2,10.2
400,12.6,10
420,12.8,8.2
440,12,8.2
460,11,9.6
480,10.4,9.6
500,10,10.4
520,11.4,10.8
540,11.4,10.8
560,12.8,10.2
580,13.8,10
600,14.2,9.4
620,14,9.6
640,15.2,10
660,14.6,10.2
680,15.2,11
700,14.6,11.4
720,14.8,11.4
740,14.6,11.2
760,14.2,11
780,13.8,11.4
800,15,10.8
820,14.4,10.4
840,14.4,10.4
860,16.2,10.8
880,16,11
900,16.8,10.4
920,17.6,10.6
940,18.2,10.4
960,20,10.8
980,20.2,10.8
1000,20.8,10
1020,21.2,10.2
1040,22.4,10.4
1060,22.2,10.8
1080,22.8,10.8
1100,23.4,10.8
1120,24.2,10.2
1140,24.8,11.4
1160,25.4,10.4
1180,25.2,11.2
1200,25.8,10.6
1220,26.8,10.2
1240,26.8,10.2
1260,27.2,11
1280,28.2,10.8
1300,28.4,10.8
1320,27.8,11
1340,30.2,10.6
1360,31,10.4
1380,31.2,11
1400,31.2,10.4
1420,31.6,10.2
1440,31.8,10.4
1460,32.4,10.4
1480,32.6,11
1500,32.6,10.8
1520,3
